,Latitude,Longitude,Elevation,Time
39,52.4531660043,-1.9413025863,202.49,2017-07-25 07:50:30
40,52.4530163873,-1.9412766863,202.49,2017-07-25 07:50:43
41,52.4529962707,-1.9412656222,202.49,2017-07-25 07:50:45
42,52.4529443868,-1.9412391353,202.49,2017-07-25 07:50:50
43,52.4527676962,-1.941222623,197.21,2017-07-25 07:51:05
44,52.4527093582,-1.9412056915,197.21,2017-07-25 07:51:11
45,52.4524859805,-1.9413222,196.25,2017-07-25 07:51:25
46,52.4523805361,-1.9413694739,195.28,2017-07-25 07:51:35
47,52.4522439949,-1.9413424004,196.25,2017-07-25 07:51:48
48,52.4522155803,-1.9412529655,202.01,2017-07-25 07:52:00
49,52.4521949608,-1.9412187673,204.9,2017-07-25 07:52:04
50,52.4521773588,-1.9412044343,205.86,2017-07-25 07:52:06
51,52.4521832261,-1.9411928672,209.22,2017-07-25 07:52:10
52,52.4520440865,-1.9410861656,214.03,2017-07-25 07:52:18
53,52.4520014226,-1.9409272447,217.4,2017-07-25 07:52:26
54,52.4517874327,-1.9407261629,234.22,2017-07-25 07:52:40
55,52.4516294338,-1.9406778831,244.79,2017-07-25 07:52:53
56,52.451582998,-1.9406238198,253.44,2017-07-25 07:53:07
57,52.4515779689,-1.9405853469,257.77,2017-07-25 07:53:10
58,52.4515062198,-1.9404780585,274.59,2017-07-25 07:53:23
59,52.4515053816,-1.9405315351,277.48,2017-07-25 07:53:31
60,52.4515587743,-1.9403293636,304.39,2017-07-25 07:53:43
61,52.4513803236,-1.9403073192,310.16,2017-07-25 07:53:56
62,52.4513261765,-1.9403353985,306.8,2017-07-25 07:54:00
63,52.4511827622,-1.9403777272,292.38,2017-07-25 07:54:16
64,52.4511724524,-1.9401499908,277.0,2017-07-25 07:54:32
65,52.4511344824,-1.9397707097,259.21,2017-07-25 07:54:49
66,52.4511733744,-1.9393595774,239.51,2017-07-25 07:55:06
67,52.4511597957,-1.938898908,221.72,2017-07-25 07:55:24
68,52.4511644058,-1.9388494547,220.28,2017-07-25 07:55:26
69,52.4512338918,-1.9386232272,210.19,2017-07-25 07:55:34
70,52.4512804952,-1.9383164495,196.73,2017-07-25 07:55:47
71,52.4512134399,-1.9377308059,162.6,2017-07-25 07:56:04
72,52.4510838557,-1.937457975,157.79,2017-07-25 07:56:20
73,52.4509634916,-1.9372252934,155.87,2017-07-25 07:56:35
74,52.4509469792,-1.9372047577,157.31,2017-07-25 07:56:47
75,52.4509429559,-1.9372049253,157.79,2017-07-25 07:57:06
76,52.4509468954,-1.937190257,157.79,2017-07-25 07:57:28
77,52.4509478174,-1.9371820427,158.27,2017-07-25 07:57:52
78,52.4509522598,-1.9371646084,157.79,2017-07-25 07:58:17
79,52.4509634916,-1.9370392151,157.31,2017-07-25 07:58:35
80,52.4509717897,-1.9369255565,154.91,2017-07-25 07:58:49
81,52.4510084186,-1.9368030969,154.91,2017-07-25 07:59:06
82,52.4510183092,-1.9367467705,154.91,2017-07-25 07:59:31
83,52.4510386772,-1.93667477,151.54,2017-07-25 07:59:53
84,52.4510766473,-1.9366189465,149.62,2017-07-25 08:00:15
85,52.4511121027,-1.9365754444,149.14,2017-07-25 08:00:39
86,52.4511586223,-1.9365493767,147.7,2017-07-25 08:00:55
87,52.4511602987,-1.9365438446,148.18,2017-07-25 08:01:14
88,52.45116801,-1.9365429226,148.66,2017-07-25 08:01:46
89,52.4511775654,-1.9365300983,148.66,2017-07-25 08:01:51
90,52.4515533261,-1.9360126834,148.66,2017-07-25 08:02:04
91,52.4522979744,-1.9347818848,147.7,2017-07-25 08:02:17
92,52.4533935729,-1.9327993132,146.26,2017-07-25 08:02:33
93,52.4546895828,-1.9312545285,146.26,2017-07-25 08:02:46
94,52.4561677314,-1.9296518248,145.3,2017-07-25 08:02:58
95,52.457599612,-1.9280735124,144.82,2017-07-25 08:03:08
96,52.4589485954,-1.9273927342,143.37,2017-07-25 08:03:16
97,52.4605036061,-1.9272416085,142.89,2017-07-25 08:03:25
98,52.4626370519,-1.9267089386,142.41,2017-07-25 08:03:38
99,52.4638979416,-1.9259009231,143.37,2017-07-25 08:03:46
100,52.4647016823,-1.9246224314,144.34,2017-07-25 08:03:53
101,52.4655674491,-1.9218797889,143.37,2017-07-25 08:04:05
102,52.4663424399,-1.9190841727,143.85,2017-07-25 08:04:18
103,52.4671523832,-1.9167327136,143.85,2017-07-25 08:04:32
104,52.4681059085,-1.9154049363,144.34,2017-07-25 08:04:43
105,52.4692649581,-1.9143896364,144.82,2017-07-25 08:04:55
106,52.4706241675,-1.9132504519,145.3,2017-07-25 08:05:11
107,52.4782807846,-1.9029636774,147.22,2017-07-25 08:07:14
108,52.4780993164,-1.9025507849,142.41,2017-07-25 08:07:21
109,52.4779237155,-1.9021699112,141.45,2017-07-25 08:07:33
110,52.4777107313,-1.9009085186,140.49,2017-07-25 08:07:56
111,52.4775942229,-1.8996627163,144.82,2017-07-25 08:09:21
112,52.4777112342,-1.8995439447,167.89,2017-07-25 08:09:44
113,52.477766471,-1.8993789051,193.36,2017-07-25 08:10:05
114,52.4779344443,-1.8986770045,196.73,2017-07-25 08:10:23
115,52.4777456,-1.8986599054,193.84,2017-07-25 08:10:33
116,52.4777355418,-1.8986234441,196.73,2017-07-25 08:10:46
117,52.4777239747,-1.8986122124,194.8,2017-07-25 08:11:01
118,52.4777018465,-1.8986109551,192.4,2017-07-25 08:11:22
119,52.4777374696,-1.8986477517,193.36,2017-07-25 08:11:39
120,52.4777783733,-1.8987992126,184.71,2017-07-25 08:11:54
121,52.4777925387,-1.8988298904,182.79,2017-07-25 08:12:16
122,52.4778801296,-1.8944889028,183.27,2017-07-25 08:28:44
123,52.4778965581,-1.8945096061,168.85,2017-07-25 08:28:57
124,52.4778943788,-1.8945070915,167.89,2017-07-25 08:28:58
125,52.477950789,-1.8945608195,161.64,2017-07-25 08:29:15
126,52.4780542217,-1.8946418725,157.79,2017-07-25 08:29:27
127,52.4781676289,-1.8947123643,140.01,2017-07-25 08:29:53
128,52.4782492686,-1.8947814312,134.24,2017-07-25 08:30:14
129,52.4782485142,-1.8948276155,133.76,2017-07-25 08:30:17
130,52.478202749,-1.8949976843,136.64,2017-07-25 08:30:31
131,52.4781335145,-1.8951483909,136.64,2017-07-25 08:30:43
132,52.4781190138,-1.895178901,144.82,2017-07-25 08:31:05
133,52.4781408906,-1.8951860256,148.18,2017-07-25 08:31:21
134,52.4781588279,-1.8951634783,151.06,2017-07-25 08:31:39
135,52.4781723227,-1.8951646518,153.95,2017-07-25 08:31:53
136,52.4781798664,-1.8951403443,160.2,2017-07-25 08:32:06
137,52.4782122206,-1.8951220717,163.08,2017-07-25 08:32:30
138,52.4782283138,-1.8950448744,165.0,2017-07-25 08:32:44
139,52.4781983066,-1.894977903,165.96,2017-07-25 08:32:58
140,52.4781905115,-1.8949853629,167.41,2017-07-25 08:33:11
141,52.4782016594,-1.895046467,170.29,2017-07-25 08:33:30
142,52.4782662839,-1.8951387517,173.17,2017-07-25 08:33:42
143,52.4783834629,-1.8951786496,185.19,2017-07-25 08:33:52
144,52.4785842933,-1.895122407,204.9,2017-07-25 08:34:08
145,52.4787679408,-1.8950605486,209.7,2017-07-25 08:34:23
146,52.4789077509,-1.8950672541,211.15,2017-07-25 08:34:37
147,52.4790020473,-1.8950846046,209.7,2017-07-25 08:34:51
148,52.4790981039,-1.8951103371,209.22,2017-07-25 08:35:04
149,52.4792799912,-1.8949538469,214.03,2017-07-25 08:35:16
150,52.4794087373,-1.8948632386,211.15,2017-07-25 08:35:27
151,52.4795793928,-1.8946438842,201.05,2017-07-25 08:35:41
152,52.4797591846,-1.894525364,192.4,2017-07-25 08:35:56
153,52.4799787905,-1.8943199236,175.1,2017-07-25 08:36:10
154,52.4801028427,-1.8943045009,167.41,2017-07-25 08:36:24
155,52.4801551457,-1.8943709694,164.52,2017-07-25 08:36:32
156,52.4800794572,-1.894398462,162.6,2017-07-25 08:36:47
157,52.4800232146,-1.8944008928,164.52,2017-07-25 08:36:57
158,52.4799424969,-1.8944138847,165.96,2017-07-25 08:37:09
159,52.4798913673,-1.8944355939,165.96,2017-07-25 08:37:23
160,52.4799020961,-1.8945788406,170.77,2017-07-25 08:37:38
161,52.4798818119,-1.8946334906,173.66,2017-07-25 08:37:56
162,52.4798407406,-1.8946250249,174.62,2017-07-25 08:38:07
163,52.4797911197,-1.8946639169,174.14,2017-07-25 08:38:11
164,52.4797755294,-1.8947607279,175.58,2017-07-25 08:38:19
165,52.4797959812,-1.894829208,176.06,2017-07-25 08:38:34
166,52.4797593523,-1.894829208,175.1,2017-07-25 08:38:58
167,52.4797523953,-1.8948373385,174.14,2017-07-25 08:39:21
168,52.4799888488,-1.8951207306,136.16,2017-07-25 08:43:37
169,52.4797566701,-1.8948337343,149.62,2017-07-25 08:43:50
170,52.4796757847,-1.8947480712,172.21,2017-07-25 08:44:03
171,52.4795285985,-1.8947465625,181.35,2017-07-25 08:44:18
172,52.4793930631,-1.8947679363,181.35,2017-07-25 08:44:29
173,52.4792197254,-1.8948054034,183.75,2017-07-25 08:44:42
174,52.4791095871,-1.8949119374,190.96,2017-07-25 08:44:58
175,52.4789524265,-1.8950250931,194.32,2017-07-25 08:45:10
176,52.4788188189,-1.8950804137,201.53,2017-07-25 08:45:23
177,52.4784937687,-1.8951986823,203.46,2017-07-25 08:45:38
178,52.4783685431,-1.8952199724,202.01,2017-07-25 08:45:42
179,52.4783156533,-1.8952208105,201.53,2017-07-25 08:45:44
180,52.4782516155,-1.8950653262,210.67,2017-07-25 08:45:57
181,52.4782471731,-1.8949908949,210.19,2017-07-25 08:46:09
182,52.4782630987,-1.8949466385,210.19,2017-07-25 08:46:22
183,52.4783145636,-1.8946449738,212.11,2017-07-25 08:46:37
184,52.4783314113,-1.8939147424,211.15,2017-07-25 08:46:47
185,52.4784031603,-1.8936083838,218.36,2017-07-25 08:47:01
186,52.4784760829,-1.8934442662,204.9,2017-07-25 08:47:30
187,52.4785236921,-1.8933929689,196.25,2017-07-25 08:47:45
188,52.478535343,-1.8933413364,196.73,2017-07-25 08:47:59
189,52.4785308167,-1.8933285121,196.25,2017-07-25 08:48:00
190,52.4785567168,-1.8932767957,197.69,2017-07-25 08:48:05
191,52.4786213413,-1.8931545038,204.42,2017-07-25 08:48:17
192,52.4786072597,-1.8930989318,201.05,2017-07-25 08:48:33
193,52.4786073435,-1.8930129334,198.65,2017-07-25 08:48:48
194,52.4786285497,-1.8929115124,196.25,2017-07-25 08:49:03
195,52.4786248617,-1.892846385,194.8,2017-07-25 08:49:17
196,52.478632573,-1.8927298766,191.92,2017-07-25 08:49:31
197,52.4786092713,-1.8925797567,187.59,2017-07-25 08:49:48
198,52.4785386957,-1.8925391883,183.27,2017-07-25 08:50:05
199,52.4785270449,-1.8924914952,183.27,2017-07-25 08:50:28
200,52.4785211775,-1.8924598955,183.75,2017-07-25 08:50:56
201,52.4785189144,-1.8924337439,183.75,2017-07-25 08:51:25
202,52.4785386957,-1.8924215902,182.31,2017-07-25 08:51:54
203,52.4785643443,-1.8923770823,179.9,2017-07-25 08:52:28
204,52.4785665236,-1.8923666887,178.94,2017-07-25 08:53:16
205,52.4785588961,-1.8923008069,176.54,2017-07-25 08:53:53
206,52.4785567168,-1.8922646809,174.62,2017-07-25 08:54:19
207,52.4785359297,-1.892184047,171.25,2017-07-25 08:54:57
208,52.478377847,-1.891468903,168.85,2017-07-25 08:55:07
209,52.4779092986,-1.8895699829,160.68,2017-07-25 08:55:21
210,52.4773036223,-1.8875157461,149.62,2017-07-25 08:55:36
211,52.4766072538,-1.8855144829,142.89,2017-07-25 08:55:49
212,52.4753846694,-1.8827557471,135.68,2017-07-25 08:56:05
213,52.4739496037,-1.8800382502,131.36,2017-07-25 08:56:19
214,52.4721099436,-1.877348749,128.47,2017-07-25 08:56:34
215,52.4700016435,-1.8742407393,125.11,2017-07-25 08:56:51
216,52.4684813339,-1.8712262716,122.71,2017-07-25 08:57:03
217,52.466780562,-1.8670554366,119.82,2017-07-25 08:57:17
218,52.4637905695,-1.8595382944,117.9,2017-07-25 08:57:41
219,52.4604241457,-1.8516661786,119.34,2017-07-25 08:58:06
220,52.457723245,-1.8465009984,118.86,2017-07-25 08:58:24
221,52.4556367379,-1.8424643576,118.38,2017-07-25 08:58:38
222,52.4544105493,-1.8394927215,117.42,2017-07-25 08:58:47
223,52.4529277068,-1.8346668407,116.94,2017-07-25 08:59:00
224,52.4523802008,-1.8308883626,117.9,2017-07-25 08:59:09
225,52.4516498018,-1.8257379346,118.38,2017-07-25 08:59:21
226,52.4505008943,-1.8215623219,118.86,2017-07-25 08:59:31
227,52.4490678404,-1.8179502245,119.82,2017-07-25 08:59:40
228,52.4461950269,-1.8127544504,120.78,2017-07-25 08:59:54
229,52.4438382871,-1.8092783913,119.82,2017-07-25 09:00:04
230,52.4410926271,-1.8063978665,117.9,2017-07-25 09:00:14
231,52.4378103577,-1.8038502708,117.9,2017-07-25 09:00:25
232,52.4342846777,-1.802026704,119.34,2017-07-25 09:00:36
233,52.4303715024,-1.8007265031,120.3,2017-07-25 09:00:48
234,52.4266092014,-1.7999642529,119.82,2017-07-25 09:01:00
235,52.4241630267,-1.799068898,119.82,2017-07-25 09:01:09
236,52.4221184291,-1.7978485767,119.82,2017-07-25 09:01:18
237,52.4202191737,-1.7963105813,119.34,2017-07-25 09:01:28
238,52.4183776695,-1.7944559176,119.82,2017-07-25 09:01:39
239,52.4169874471,-1.7927010823,121.74,2017-07-25 09:01:50
240,52.416164428,-1.7914181482,123.19,2017-07-25 09:02:00
241,52.4154963065,-1.7902578413,123.19,2017-07-25 09:02:13
242,52.415147284,-1.7896103393,125.11,2017-07-25 09:02:25
243,52.4151024409,-1.7895359918,127.03,2017-07-25 09:02:37
244,52.4151146784,-1.7895333096,126.55,2017-07-25 09:03:12
245,52.41512415,-1.7895585392,127.99,2017-07-25 09:03:44
246,52.415033374,-1.789398361,128.47,2017-07-25 09:04:04
247,52.4146025442,-1.7886145692,128.47,2017-07-25 09:04:15
248,52.4137451593,-1.7871874664,128.95,2017-07-25 09:04:27
249,52.4123942479,-1.7852854449,128.95,2017-07-25 09:04:40
250,52.4106379878,-1.7831541784,128.47,2017-07-25 09:04:53
251,52.4083747063,-1.7807039805,127.51,2017-07-25 09:05:07
252,52.4058295414,-1.7787678447,126.07,2017-07-25 09:05:20
253,52.4031609949,-1.777334623,125.11,2017-07-25 09:05:32
254,52.3997746222,-1.7759076878,125.11,2017-07-25 09:05:46
255,52.3961389717,-1.7742573749,125.11,2017-07-25 09:06:00
256,52.392880423,-1.772628352,124.15,2017-07-25 09:06:12
257,52.3893202096,-1.770299105,123.19,2017-07-25 09:06:25
258,52.3854278214,-1.7672688793,123.19,2017-07-25 09:06:39
259,52.3824409302,-1.7642764561,123.67,2017-07-25 09:06:50
260,52.3781242501,-1.7592308018,123.67,2017-07-25 09:07:06
261,52.375224866,-1.7562846467,122.22,2017-07-25 09:07:16
262,52.3719558399,-1.7528629024,120.78,2017-07-25 09:07:27
263,52.3698421754,-1.7496104725,119.82,2017-07-25 09:07:35
264,52.3670234252,-1.7439548671,117.42,2017-07-25 09:07:47
265,52.3628392629,-1.7357213236,112.61,2017-07-25 09:08:04
266,52.3605691083,-1.7321072984,110.69,2017-07-25 09:08:12
267,52.35790601,-1.7291442957,109.25,2017-07-25 09:08:20
268,52.3553246353,-1.727157617,108.29,2017-07-25 09:08:27
269,52.3521922342,-1.7255394906,106.84,2017-07-25 09:08:35
270,52.3489698116,-1.7247242667,105.88,2017-07-25 09:08:43
271,52.3461510614,-1.7247489933,104.92,2017-07-25 09:08:50
272,52.3414010368,-1.7258503754,103.48,2017-07-25 09:09:02
273,52.3370520864,-1.7263356876,103.48,2017-07-25 09:09:13
274,52.3338768538,-1.7260522116,102.52,2017-07-25 09:09:21
275,52.3307204805,-1.7247910704,100.6,2017-07-25 09:09:29
276,52.3256727308,-1.7228299566,98.67,2017-07-25 09:09:42
277,52.3222503997,-1.7212584335,95.79,2017-07-25 09:09:51
278,52.3194349185,-1.7189509794,93.39,2017-07-25 09:09:59
279,52.3152308073,-1.7144390848,93.87,2017-07-25 09:10:12
280,52.3109307233,-1.709340876,96.27,2017-07-25 09:10:26
281,52.3089285381,-1.7058380786,98.19,2017-07-25 09:10:34
282,52.3071371578,-1.7015826702,100.11,2017-07-25 09:10:43
283,52.3046074156,-1.6951257549,104.44,2017-07-25 09:10:57
284,52.3021457344,-1.6902195755,105.88,2017-07-25 09:11:09
285,52.2990192007,-1.6849311814,106.36,2017-07-25 09:11:23
286,52.2967109084,-1.6805478651,104.44,2017-07-25 09:11:34
287,52.2957540303,-1.6771995462,103.0,2017-07-25 09:11:41
288,52.2952252161,-1.6730860434,101.56,2017-07-25 09:11:49
289,52.2952299938,-1.6694226488,100.6,2017-07-25 09:11:56
290,52.2956961952,-1.6658911016,100.6,2017-07-25 09:12:03
291,52.2967016883,-1.6621256992,99.63,2017-07-25 09:12:11
292,52.2977666091,-1.657833159,99.15,2017-07-25 09:12:20
293,52.298222417,-1.653768355,97.71,2017-07-25 09:12:28
294,52.2982266918,-1.6495775711,95.79,2017-07-25 09:12:36
295,52.297781026,-1.6454446223,92.42,2017-07-25 09:12:44
296,52.2967879381,-1.6404067632,89.54,2017-07-25 09:12:54
297,52.2954497673,-1.6354367975,85.21,2017-07-25 09:13:05
298,52.2939895559,-1.6311714146,82.33,2017-07-25 09:13:16
299,52.2924507223,-1.6276320722,79.93,2017-07-25 09:13:27
300,52.290715836,-1.6241706815,77.52,2017-07-25 09:13:40
301,52.2892668564,-1.621289989,74.16,2017-07-25 09:13:53
302,52.287965985,-1.6186871566,71.76,2017-07-25 09:14:07
303,52.2871434689,-1.6167154815,70.31,2017-07-25 09:14:20
304,52.2866359446,-1.6151155438,68.39,2017-07-25 09:14:34
305,52.2863227967,-1.6138127446,66.95,2017-07-25 09:14:51
306,52.2862621117,-1.6134794801,66.47,2017-07-25 09:15:04
307,52.2862613574,-1.6135065537,65.99,2017-07-25 09:15:43
308,52.2862542327,-1.6134697571,66.47,2017-07-25 09:16:11
309,52.2861445136,-1.6128292121,66.95,2017-07-25 09:16:21
310,52.2859372292,-1.6113900393,66.47,2017-07-25 09:16:31
311,52.2857728601,-1.6093026102,65.51,2017-07-25 09:16:41
312,52.2857920546,-1.6061234381,62.14,2017-07-25 09:16:53
313,52.2862164304,-1.602868326,61.66,2017-07-25 09:17:04
314,52.2868651897,-1.5986329503,61.66,2017-07-25 09:17:17
315,52.2869221866,-1.5953255352,61.18,2017-07-25 09:17:26
316,52.2867967933,-1.5900752787,58.3,2017-07-25 09:17:39
317,52.2866553068,-1.5835044533,54.93,2017-07-25 09:17:54
318,52.2865507007,-1.5767071489,52.05,2017-07-25 09:18:09
319,52.2862333618,-1.571850339,53.49,2017-07-25 09:18:20
320,52.2854837682,-1.5672382805,53.49,2017-07-25 09:18:31
321,52.2846661974,-1.5624517109,52.53,2017-07-25 09:18:44
322,52.2844438255,-1.5588576347,49.65,2017-07-25 09:18:55
323,52.2845236212,-1.5556906164,47.72,2017-07-25 09:19:06
324,52.2847232781,-1.5527133644,46.76,2017-07-25 09:19:18
325,52.2848699614,-1.5491501335,46.76,2017-07-25 09:19:34
326,52.284876667,-1.5451495349,47.72,2017-07-25 09:19:54
327,52.2847726475,-1.5422128513,51.57,2017-07-25 09:20:11
328,52.2847563028,-1.5396696143,54.45,2017-07-25 09:20:28
329,52.2847425565,-1.5384234767,54.93,2017-07-25 09:20:41
330,52.2847231943,-1.5377038065,55.89,2017-07-25 09:20:55
331,52.2847138066,-1.5377122723,54.93,2017-07-25 09:21:18
332,52.2847159021,-1.5377115179,54.93,2017-07-25 09:21:51
333,52.2847065143,-1.537413206,54.45,2017-07-25 09:22:11
334,52.284671478,-1.5363471955,54.45,2017-07-25 09:22:22
335,52.2845687997,-1.5345880855,54.45,2017-07-25 09:22:33
336,52.2842137422,-1.5325587429,55.41,2017-07-25 09:22:43
337,52.2833317146,-1.5292885434,57.34,2017-07-25 09:22:57
338,52.2824216075,-1.5271514095,57.82,2017-07-25 09:23:06
339,52.2807277087,-1.5246233437,58.3,2017-07-25 09:23:18
340,52.2779784445,-1.5216035116,60.7,2017-07-25 09:23:34
341,52.275213087,-1.5193193592,62.62,2017-07-25 09:23:48
342,52.272513276,-1.5179539472,64.55,2017-07-25 09:24:00
343,52.2698052507,-1.5173535515,65.99,2017-07-25 09:24:11
344,52.2666819021,-1.5173928626,68.39,2017-07-25 09:24:23
345,52.2637427039,-1.5170502104,67.91,2017-07-25 09:24:34
346,52.2613614891,-1.5160040651,68.39,2017-07-25 09:24:43
347,52.2590672784,-1.5142627247,68.87,2017-07-25 09:24:52
348,52.2569441423,-1.5118205734,68.87,2017-07-25 09:25:01
349,52.2550856229,-1.5087027568,68.87,2017-07-25 09:25:10
350,52.2531816736,-1.5042606834,69.35,2017-07-25 09:25:21
351,52.2500461712,-1.4967279509,72.72,2017-07-25 09:25:39
352,52.24872577,-1.4926374983,74.16,2017-07-25 09:25:48
353,52.2479126416,-1.4881610591,75.6,2017-07-25 09:25:57
354,52.2470108327,-1.4793349989,78.48,2017-07-25 09:26:14
355,52.245800402,-1.4687484875,81.85,2017-07-25 09:26:34
356,52.2447885387,-1.4647071529,83.77,2017-07-25 09:26:42
357,52.2433330212,-1.4609960653,85.69,2017-07-25 09:26:50
358,52.2413495276,-1.4572141506,88.1,2017-07-25 09:26:59
359,52.2401562799,-1.4538333938,90.02,2017-07-25 09:27:06
360,52.2394592408,-1.4500633813,91.94,2017-07-25 09:27:13
361,52.2388126608,-1.4439356234,94.83,2017-07-25 09:27:24
362,52.2376915812,-1.4397588372,96.27,2017-07-25 09:27:32
363,52.235456882,-1.4338993002,97.71,2017-07-25 09:27:44
364,52.2332920879,-1.4299950097,97.71,2017-07-25 09:27:53
365,52.2313053254,-1.4274388645,96.75,2017-07-25 09:28:00
366,52.2286931053,-1.4250924345,96.27,2017-07-25 09:28:08
367,52.2248199116,-1.422578115,96.27,2017-07-25 09:28:19
368,52.2217131592,-1.4201564994,96.27,2017-07-25 09:28:28
369,52.2171631269,-1.4157196227,94.35,2017-07-25 09:28:42
370,52.2108939663,-1.4095082972,93.87,2017-07-25 09:29:02
371,52.2077714559,-1.4065532573,96.75,2017-07-25 09:29:13
372,52.2055765707,-1.4050963148,98.19,2017-07-25 09:29:21
373,52.2027280647,-1.4040898159,99.63,2017-07-25 09:29:31
374,52.199855838,-1.4039383549,99.63,2017-07-25 09:29:41
375,52.1967272926,-1.403582627,99.15,2017-07-25 09:29:52
376,52.1934675705,-1.402360294,100.6,2017-07-25 09:30:04
377,52.1903673559,-1.4004080649,101.56,2017-07-25 09:30:16
378,52.1873953007,-1.3977021351,102.52,2017-07-25 09:30:28
379,52.1848303545,-1.3945243042,103.96,2017-07-25 09:30:39
380,52.1807992458,-1.3885521982,106.36,2017-07-25 09:30:57
381,52.1749829594,-1.3799295668,111.17,2017-07-25 09:31:22
382,52.1700090542,-1.3723087404,114.05,2017-07-25 09:31:43
383,52.16851037,-1.3687351998,114.53,2017-07-25 09:31:51
384,52.1658875886,-1.3604396302,116.94,2017-07-25 09:32:08
385,52.1632201318,-1.3525811769,118.86,2017-07-25 09:32:24
386,52.1613933798,-1.3490813971,119.34,2017-07-25 09:32:32
387,52.1593830641,-1.3465920556,118.86,2017-07-25 09:32:39
388,52.1568050422,-1.3444732781,119.34,2017-07-25 09:32:47
389,52.1543666627,-1.3433103729,118.86,2017-07-25 09:32:54
390,52.1511524543,-1.3425740227,119.82,2017-07-25 09:33:03
391,52.1468901727,-1.3415693678,118.38,2017-07-25 09:33:15
392,52.1441440098,-1.3401458692,116.46,2017-07-25 09:33:23
393,52.1395252459,-1.336915819,116.94,2017-07-25 09:33:37
394,52.1371870302,-1.3343574107,115.98,2017-07-25 09:33:45
395,52.1346219163,-1.3306052517,115.5,2017-07-25 09:33:55
396,52.1323370934,-1.3282304071,115.5,2017-07-25 09:34:03
397,52.1297998913,-1.3264315668,115.01,2017-07-25 09:34:11
398,52.1260686032,-1.3244613167,114.53,2017-07-25 09:34:22
399,52.1221495606,-1.3231304381,113.09,2017-07-25 09:34:33
400,52.1182132512,-1.3224844448,110.21,2017-07-25 09:34:44
401,52.1115092374,-1.321644159,106.36,2017-07-25 09:35:03
402,52.1069890447,-1.3215192687,103.96,2017-07-25 09:35:16
403,52.1028643101,-1.3222505897,103.48,2017-07-25 09:35:28
404,52.098760698,-1.3237300795,103.96,2017-07-25 09:35:40
405,52.0942329615,-1.3252491318,102.04,2017-07-25 09:35:53
406,52.0899141021,-1.3258084562,101.08,2017-07-25 09:36:05
407,52.0856152754,-1.3256201148,99.15,2017-07-25 09:36:17
408,52.0820740052,-1.3258797862,98.19,2017-07-25 09:36:27
409,52.078294605,-1.3269272726,96.75,2017-07-25 09:36:38
410,52.0745917317,-1.3280139863,96.27,2017-07-25 09:36:50
411,52.0716384519,-1.3291437831,96.27,2017-07-25 09:37:01
